keys,en,it
LEVELS,Livels,Livelli
QUIT,Quit,Esci
BACK,Back,Indietro
RELOAD,Reload,Ricarica
MUSIC,Toggle Music,Musica
NEXT_LEVEL,Next Level,Prossimo Livello
GIT_MESSAGE,"Hi! It seems that you don't have Git installed yet!

On Linux, please install it from your package manager, usually the package is called "git"!

On macOS 10.8 and below, you can download Git from git-scm.com.","Ciao! Sembra che tu non abbia ancora installato Git!

Su Linux, installalo dal tuo gestore di pacchetti, di solito il pacchetto si chiama "git"!

Su macOS 10.8 e versioni precedenti, puoi scaricare Git da git-scm.com."
INSTALL,"Sure, I'll install it!","Sicuro, lo installerò"
LANGUAGE,Language,Linguaggio
ITALIAN,Italian,Italiano
ENGLISH,English,Inglese
GOT_IT,"Got it!","fatto"
INTERESTING,"Interesting!","interessante"
VERY_USEFULL,"Very useful!","Veramente utile!"
COOL,"Cool!","Bello!"
NICE,"Nice!","Bene!"
THANKS,"Thanks!","Grazie!"
WHATEVER,"Whatever...","Ad ogni costo..."
OKAY,"Okay!","Ok!"
YAY,"Yay!","Yay!"
AWESOME,"Awesome!","Eccezionale!"
YOUR_TERMINAL,"This is your terminal! All commands are executed here, and you can see their output. You can also type your own commands here!","Questo è il tuo terminale! Tutti i comandi sono eseguiti qui e puoi vedere il loro output. Puoi anche digitare i tuoi comndi qui!"
